Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED2-8,LTST-E133HEGBK,LTSTE133HEGBK,174.575,-74.075,180.0,top
LED2-9,LTST-E133HEGBK,LTSTE133HEGBK,172.925,-71.3,180.0,top
LED3-1,LTST-E133HEGBK,LTSTE133HEGBK,224.7,-73.978236,-90.0,top
LED3-10,LTST-E133HEGBK,LTSTE133HEGBK,204.025,-68.6,180.0,top
LED3-11,LTST-E133HEGBK,LTSTE133HEGBK,204.0,-65.8,180.0,top
LED3-12,LTST-E133HEGBK,LTSTE133HEGBK,204.025,-62.875,180.0,top
LED3-13,LTST-E133HEGBK,LTSTE133HEGBK,205.225,-60.075,90.0,top
LED3-14,LTST-E133HEGBK,LTSTE133HEGBK,208.1,-58.675,90.0,top
LED3-15,LTST-E133HEGBK,LTSTE133HEGBK,211.0,-57.275,90.0,top
LED3-16,LTST-E133HEGBK,LTSTE133HEGBK,213.725,-55.375,90.0,top
LED3-17,LTST-E133HEGBK,LTSTE133HEGBK,216.7,-55.4,90.0,top
LED3-18,LTST-E133HEGBK,LTSTE133HEGBK,219.5,-56.8,0.0,top
LED3-19,LTST-E133HEGBK,LTSTE133HEGBK,222.325,-58.275,0.0,top
LED3-2,LTST-E133HEGBK,LTSTE133HEGBK,222.0,-75.7,-90.0,top
LED3-20,LTST-E133HEGBK,LTSTE133HEGBK,225.125,-59.675,0.0,top
LED3-21,LTST-E133HEGBK,LTSTE133HEGBK,226.4,-62.5,0.0,top
LED3-22,LTST-E133HEGBK,LTSTE133HEGBK,226.375,-65.375,0.0,top
LED3-23,LTST-E133HEGBK,LTSTE133HEGBK,226.375,-68.2,0.0,top
LED3-24,LTST-E133HEGBK,LTSTE133HEGBK,226.375,-71.1,0.0,top
LED3-3,LTST-E133HEGBK,LTSTE133HEGBK,219.3,-77.175,-90.0,top
LED3-4,LTST-E133HEGBK,LTSTE133HEGBK,216.6,-78.775,-90.0,top
LED3-5,LTST-E133HEGBK,LTSTE133HEGBK,213.775,-78.775,-90.0,top
LED3-6,LTST-E133HEGBK,LTSTE133HEGBK,211.0,-77.275,180.0,top
LED3-7,LTST-E133HEGBK,LTSTE133HEGBK,208.275,-75.775,180.0,top
LED3-8,LTST-E133HEGBK,LTSTE133HEGBK,205.475,-74.275,180.0,top
LED3-9,LTST-E133HEGBK,LTSTE133HEGBK,204.025,-71.475,180.0,top
R1,2.2K,R_1206_3216Metric,161.2,-112.49,90.0,top
R10,10K,R_0805_2012Metric,152.75,-145.25,180.0,top
R2,100K (NP),R_1206_3216Metric,199.1,-80.7,-90.0,top
R3,100K,R_0805_2012Metric,155.2,-103.49,-90.0,top
R4,100K,R_0805_2012Metric,171.2,-99.49,-90.0,top
R5,100K (NP),R_1206_3216Metric,224.9,-88.1,90.0,top
R6,100K (NP),R_1206_3216Metric,168.0,-82.8,-90.0,top
R7,1K,R_0805_2012Metric,166.2,-112.49,-90.0,top
R8,100,R_0805_2012Metric,169.0,-145.49,180.0,top
R9,100K (NP),R_1206_3216Metric,154.6,-139.6,-90.0,top
SW1,SW_SPDT,SW-TH_SS-12F44-G5,148.2,-96.49,0.0,top
SW2,SW_Push,SW_SPST_PTS810,147.1,-140.89,180.0,top
U1,STM32G0B1CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,165.3,-123.39,180.0,top
U2,SN74LV1T34DBV,SOT-23-5,163.525001,-80.715001,90.0,top
U3,SN74LV1T34DBV,SOT-23-5,194.725898,-80.735,90.0,top
U4,AP2112K-3.3,SOT-23-5,170.2,-104.54,0.0,top
U5,SN74LV1T34DBV,SOT-23-5,224.9,-81.170001,90.0,top
U6,REF2030,SOT-23-5,177.2,-112.49,180.0,top
Y2,32.768kHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,175.2,-125.39,-90.0,top
